,Unnamed: 0,location,Radius,covered_nodes,Total_nodes_covered
0,0,"[-909.048966644455, -635.026678192507]",242.67917288136368,"['330648098', '330648694', '330648697', '330780901', '2018053792', '5391143596', '5391143604']",7
1,1,"[-475.2822804764292, -608.8223112996022]",232.3326514900573,"['268790019', '275676971', '330648038', '330648048', '330648051', '330648058', '330653893', '330653923', '330653928', '330653958', '330783601', '330783605', '670703094', '672642687', '672642688', '672642689']",16
2,2,"[-134.02323180897713, -460.3357762271772]",232.50699723333597,"['268789973', '268789976', '268790010', '268790016', '268790019', '268790030', '268790035', '304913245', '304914007', '304914011', '330648003', '330648024', '330648058', '330653141', '330653166', '330653179', '330653184', '330653236', '330653241', '330653246', '330653249', '330653262', '330653267', '330653271', '330653290', '330653353', '330653884', '330653928', '330780202', '670703101', '670703151', '670703205', '670703217', '672642687', '672642688', '2164168482', '2166694715']",37
3,3,"[271.65193662989503, -822.1305198533843]",226.0199186073618,"['275676976', '275676977', '330653399', '330654000', '330654003', '330654005', '330654009', '330654139', '330780144', '330780592', '330798589', '330798628', '330798636', '2164168453', '2164168463', '2166694720', '2166694724', '2167078769', '2167078770', '2167078772', '2167078773', '2167078774', '4690195816', '7024847607']",24
4,4,"[219.5780648187286, -475.3441455644806]",227.8742599324882,"['268789969', '268789971', '268789973', '268789976', '268789979', '268790030', '268790035', '330653141', '330653290', '330653296', '330653303', '330653324', '330653353', '330774715', '330774716', '330780167', '330780203', '2166694720', '2166694724', '2166694728', '2166694752', '3405091168', '7024847607']",23
5,5,"[243.0503973664854, -192.3250677326959]",230.04217411151058,"['268789874', '268789875', '268789979', '268789985', '268789987', '268789988', '268789990', '268789999', '268790000', '330593595', '330593601', '330593701', '330593710', '330593716', '330612021', '330612027', '330612032', '330612039', '330612040', '330612044', '330612046', '330612049', '330612053', '330612289', '330653324', '330774715', '330774716', '330779489', '330779492', '3371735080']",30
6,6,"[651.0702867816995, 136.15557308736985]",225.79352290962905,"['268789868', '268789869', '268789870', '268789920', '268789940', '268789950', '268789954', '330576280', '330576404', '330576439', '330576488', '330576496', '330593447', '330593456', '330593460', '330593466', '330593476', '330593480', '330593501', '330593509', '330593514', '330593520', '330593523', '2164208476', '2164208484']",25
7,7,"[596.5948343164406, -168.88082816318607]",226.66263280304872,"['330593497', '330593501', '330593697', '330593710', '330593716', '330612021', '330612026']",7
8,8,"[-77.39861069432257, -810.0175816229718]",227.89696433767796,"['275675438', '275675439', '275675440', '275675441', '330653262', '330653267', '330653967', '330653976', '330653978', '330653986', '330653996', '330653997', '330654000', '330654010', '330654012', '330780144', '330780155', '330780161', '330780202', '670703101', '670703151', '670703205', '670703217', '670703264', '2166694704', '2166694709', '2166694714', '2166694715', '2167078771', '2167078772']",30
9,9,"[835.62037347346, 693.9260395139897]",222.21013121127325,"['268789860', '268789861', '268789944', '330576156', '330576503', '330576530', '330576539', '330576568', '330576592', '330576637', '330576647', '330576671', '330576678', '330576694', '330576715', '330576733', '330576745', '330576757', '330576765', '330576770', '330576811', '330576821', '330576830', '330582157', '330582193', '3371735058', '3371735059', '3371735060', '3371735062', '3371735063', '3371735085', '3371735086', '3371735087', '3405055667', '3405055668']",35
10,10,"[-125.34541982287368, -167.946140188176]",234.55766259664088,"['268789999', '268790000', '304913244', '304913245', '304913248', '304914011', '330612029', '330612046', '330612289', '330612298', '330612299', '330648003', '330653184', '3405118745']",14
11,11,"[654.9411061151682, -816.5130480758522]",225.2093983393355,"['275676979', '275676982', '330653399', '330654123', '330654130', '330780864', '330780866', '330798628', '330798629', '330798631', '330798633', '330798634', '330798635', '330798636', '2166703022', '2168356812', '4690195811', '10038642610', '10038642616']",19
12,12,"[534.0339068532185, 433.4471052402511]",225.03097651516063,"['268789880', '268789881', '268789882', '268789920', '268789940', '268789950', '268789961', '268789963', '330576035', '330576044', '330576053', '330576059', '330576066', '330576253', '330576261', '330576280', '330576404', '330576439', '330576446', '330576488', '330576496', '330593460', '330593466', '6773818263', '6773818264']",25
13,13,"[214.6365317254925, -1083.9035336179945]",225.0328799863276,"['275676975', '275676976', '275676977', '330654005', '330654009', '330654038', '330654075', '330654081', '330654139', '330654144', '330654147', '330654149', '330654150', '330780592', '330798589', '2164168453', '2164168463', '2167078769', '2167078770', '2167078771', '2167078772', '2167078773', '2167078774', '6590511582', '7025461280']",25
14,14,"[251.27155351933314, 102.55232306779631]",229.7593677356484,"['268789926', '268789939', '268789985', '268789987', '268789988', '268789990', '330576289', '330576364', '330593476', '330593523', '330593548', '330593595', '330593601', '330593605', '330593612', '330593618', '330593624', '330593641', '330593646', '330593651', '330593656', '330593661', '330593666', '330593675', '330593688', '330593701', '330612039', '330612040']",28
15,15,"[571.0820527863879, -502.17977935123264]",226.15503676967234,"['330653384', '330653426', '2166703022', '2293922421', '3405091168']",5
16,16,"[916.7640159365429, 336.63836521400947]",223.3872015512697,"['268789950', '268789954', '330576811', '330582170', '330582189', '330582193', '330582202', '330593389', '330593397', '330593428', '330593447', '330593456', '330593460', '2164208476', '2164208484', '3248842465', '3248842469', '3248842472', '3248842473', '3248842475', '3248842476', '3248842477', '3248842479', '3405055667', '3405055668']",25
17,17,"[881.3221384232079, 1028.5503791842727]",221.52303481607413,"['268789836', '268789877', '268789879', '268789942', '268789959', '268790945', '330576694', '330576715', '3248845375', '3263038277', '3371735058']",11
18,18,"[642.2514720632914, -1023.407134590961]",224.712937065177,"['275676979', '275676982', '330654083', '330654107', '330654114', '330654123', '330654130', '330780864', '330798629', '330798631', '330798633', '2158634730', '2168356812', '4690195811', '10038642609', '10038642610', '10038642616']",17
19,19,"[-546.4998283833846, -355.98353175547555]",239.18063621890025,"['304914007', '330648038', '330648048', '330648061', '330648065', '330648075', '330648108', '330648111', '330648114', '330648117', '330653928', '330653958', '330798362', '330798365']",14
